original_path,sidecar_path,unique_id,status,timestamp
/media/az/drive64gb/DCIM/100MSDCF/._DSC01196.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/._DSC01196.ARW.json,sha256:2721c4d3857eea7c866c02c2dbd986abf0c084e79299d9f1ddcd75e21de22794,SUCCESS,2026-03-04T00:14:09.129250
/media/az/drive64gb/DCIM/100MSDCF/._DSC01190.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/._DSC01190.ARW.json,sha256:f95ff75438e24f9262d6c22c32fbf3204cce0d2467ccd379a18662df8b4dec2e,SUCCESS,2026-03-04T00:14:09.210837
/media/az/drive64gb/DCIM/100MSDCF/DSC01130.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01130.ARW.json,sha256:7b89d39f83ece91aa50001a481868d23689b69feac34127f216c4944ff1776e4,SUCCESS,2026-03-04T00:14:09.332784
/media/az/drive64gb/DCIM/100MSDCF/DSC01131.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01131.ARW.json,sha256:f3e6f56fb317fb4ce5b19b29d927dca6c82f737c0e63c8cd9389f6b417568352,SUCCESS,2026-03-04T00:14:09.453855
/media/az/drive64gb/DCIM/100MSDCF/DSC01132.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01132.ARW.json,sha256:4b19551ec3ea5aba9f6157b4f2b950b488b096c95bc15a350d3873cff38464cc,SUCCESS,2026-03-04T00:14:09.577518
/media/az/drive64gb/DCIM/100MSDCF/DSC01133.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01133.ARW.json,sha256:18a6c6975245a3e0c55067f78fc73a023e02192e2426d879110152cb01745fdf,SUCCESS,2026-03-04T00:14:09.699407
/media/az/drive64gb/DCIM/100MSDCF/DSC01134.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01134.ARW.json,sha256:45f9aa653a1225c82fd8f8bb2a10ffca51e24524f96f860b810bb51cee6f5e8d,SUCCESS,2026-03-04T00:14:09.821787
/media/az/drive64gb/DCIM/100MSDCF/DSC01135.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01135.ARW.json,sha256:5e87ab240fa7b558cfc5eb350ffcfa768db8ae9c83569d25ad8e3a0d05187b43,SUCCESS,2026-03-04T00:14:09.944250
/media/az/drive64gb/DCIM/100MSDCF/DSC01136.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01136.ARW.json,sha256:a1e4867314aa7ff5733e825b005cb9899ff98a68110fd14f6681b9e5894cb46e,SUCCESS,2026-03-04T00:14:10.067996
/media/az/drive64gb/DCIM/100MSDCF/DSC01137.ARW,/home/az/.openclaw/workspace/AZ_Projects/MediaAuditOrganizer/05_SIDECARS/DCIM/100MSDCF/DSC01137.ARW.json,sha256:a2c260a4a3cdcb3dd1b7a63fcc37b6415cef15622e58cc75f1547958f92c8d79,SUCCESS,2026-03-04T00:14:10.192795
